Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Ukraine,UKR,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,18.4,17.6,16.7,15.9,15.1,14.5,13.9,13.4,12.9,12.3,11.7,11.2,10.6,10.2,9.8,9.5,9.2,9,8.7,..
Poland,POL,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,9.3,8.8,8.4,8.1,7.8,7.6,7.3,7,6.7,6.3,6,5.7,5.4,5.2,5,4.9,4.7,4.6,4.4,..
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Education Statistics - All Indicators,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 06/25/2024,,,,,,,,,,,,,,,,,,,,,,,
